date,uuid,rank,username,lastJoined,daysLastJoined,playtime,wars,graids,lootruns,raids,totalLevel,contentCompletion
2026-03-08T05:05:03.417889Z,89cdeb83-0958-4563-a606-0a460e13abfa,CHIEF,ewenfi,2026-02-28T17:29:02.532000Z,7.483,958.5,71,93,2,401,1940,1956
2026-03-08T05:05:03.417889Z,4470c807-1394-4930-937d-1680d508d22d,CHIEF,KirouXD,2026-03-07T21:31:50.639000Z,0.315,391.92,92,61,3,188,1162,659
2026-03-08T05:05:03.417889Z,130612b6-1d46-49c7-b06e-3200959254c7,STRATEGIST,_Snoopers_,2026-03-08T02:40:15.052000Z,0.101,406.92,37,53,5,99,5515,1498
2026-03-08T05:05:03.417889Z,a8ff0b79-9511-47b7-8705-b657eba980aa,STRATEGIST,LaserX,2026-03-07T16:39:56.402000Z,0.517,735.92,73,41,5,177,3456,2116
2026-03-08T05:05:03.417889Z,f46a3aa1-ed18-48f4-bcf9-594e0ff19842,STRATEGIST,WhiteNoise0113,2026-03-07T21:59:55.394000Z,0.295,2875.42,4038,97,5,261,9528,3913
2026-03-08T05:05:03.417889Z,c32bfbf5-9665-4ad1-837e-92fa882288a3,STRATEGIST,StyNath,2026-02-28T01:27:41.245000Z,8.151,145.5,9,24,1,61,882,551
2026-03-08T05:05:03.417889Z,ce2fc852-9b0e-41d2-a323-603be70f5b69,STRATEGIST,kcsato,2026-03-04T14:12:00.060000Z,3.62,325.5,101,10,4,47,2299,1211
2026-03-08T05:05:03.417889Z,9604c081-52b1-4224-8107-b00885644c84,STRATEGIST,imNaphy,2026-03-07T20:58:31.218000Z,0.338,356.5,0,0,0,0,3521,912
2026-03-08T05:05:03.417889Z,96512a2a-4200-463e-8974-27a4c81947cd,STRATEGIST,FireGamingDK,2026-02-19T09:14:51.145000Z,16.827,422.17,97,0,3,31,3206,1620
2026-03-08T05:05:03.417889Z,fdaac6c6-88b2-437a-b923-44d14d0841f6,STRATEGIST,Lliseron,2026-03-07T17:50:01.628000Z,0.469,30.83,0,0,0,0,1072,130
2026-03-08T05:05:03.417889Z,b7d4a9f2-73ba-47b6-bc7c-d8db98ad6a2e,CAPTAIN,cresseliah,2026-03-08T00:01:26.644000Z,0.211,159.5,0,3,2,11,1309,713
2026-03-08T05:05:03.417889Z,a27ae078-8209-4c2e-85ea-57de6168cc9b,CAPTAIN,xEagless,2026-03-08T03:57:48.052000Z,0.047,353.83,11,24,2,146,2614,1110
2026-03-08T05:05:03.417889Z,d680883b-e7b2-4bfc-bad7-79372d97c60d,CAPTAIN,ddxWeCraft,2026-03-08T05:02:58.356000Z,0.001,342.58,14,23,5,149,1149,1117
2026-03-08T05:05:03.417889Z,81c0cf7a-43f9-4aaf-8783-4953970e394d,CAPTAIN,WynnDestroyer,2026-02-28T07:37:02.839000Z,7.894,235.17,0,0,1,13,1784,1491
2026-03-08T05:05:03.417889Z,06793d89-e8ea-4ec2-aa55-4c5f03b93026,CAPTAIN,MoondustPeachy,2026-03-07T22:59:03.101000Z,0.254,331.17,12,24,4,75,1819,1115
2026-03-08T05:05:03.417889Z,9731aa53-56d8-43e2-99d1-86e5e2efd7de,CAPTAIN,JP_GOD_Divzer,2026-03-07T16:56:22.802000Z,0.506,310.25,0,4,3,199,817,762
2026-03-08T05:05:03.417889Z,b3be31d6-e441-4299-a342-685898f35f30,CAPTAIN,BlueSkyMoose,2026-03-07T22:29:53.819000Z,0.274,1577.0,33,65,5,216,8296,4383
2026-03-08T05:05:03.417889Z,c77bcc5e-ad22-478d-a70e-fa3a255f2f86,CAPTAIN,jeff1234567842,2026-03-07T19:51:49.334000Z,0.384,252.92,17,25,4,107,1741,1395
2026-03-08T05:05:03.417889Z,ae32ae54-c15c-4c6d-ab46-3bdcec6e2e7f,CAPTAIN,kanyo0904,2026-03-08T02:58:52.245000Z,0.088,308.42,17,1,4,249,263,547
2026-03-08T05:05:03.417889Z,3ed556ef-70ef-4d27-8bae-c2cff73f9b20,CAPTAIN,YBN,2026-02-24T21:11:10.295000Z,11.329,114.83,0,0,1,4,1745,787
2026-03-08T05:05:03.417889Z,bf6fd3d8-f0b2-4831-9dc2-77db02b015d7,CAPTAIN,Gurlic,2026-03-07T11:27:02.714000Z,0.735,259.33,6,4,2,36,948,1139
2026-03-08T05:05:03.417889Z,2ad7fd38-792d-4862-ba2a-b7e1c1723b18,CAPTAIN,wrggg,2026-03-02T21:28:50.964000Z,5.317,870.67,46,192,2,801,851,593
2026-03-08T05:05:03.417889Z,065f7a4a-e15a-4bbf-ab2f-b55051e0b6de,CAPTAIN,parrandeno,2026-02-10T02:09:44.601000Z,26.122,85.83,12,4,1,16,1030,717
2026-03-08T05:05:03.417889Z,02115748-53c2-4a43-afd7-5412d8e01f8a,CAPTAIN,Budiono,2026-03-07T17:04:00.608000Z,0.501,2708.67,1611,0,3,462,12264,3276
2026-03-08T05:05:03.417889Z,b0135e82-95b5-432b-a008-d7a8d6829e07,CAPTAIN,EdouardpheoIII,2026-03-08T00:15:14.555000Z,0.201,1016.17,1,15,1,81,7367,1195
